n;candidato;votos;porcentagem;data
13;LULA;57259504;48,43;2022-10-30T02:47:56Z
22;JAIR BOLSONARO;51072345;43,20;2022-10-30T02:47:56Z
15;SIMONE TEBET;4915423;4,16;2022-10-30T02:47:56Z
12;CIRO GOMES;3599287;3,04;2022-10-30T02:47:56Z
44;SORAYA THRONICKE;600955;0,51;2022-10-30T02:47:56Z
30;"FELIPE D&apos;AVILA";559708;0,47;2022-10-30T02:47:56Z
14;PADRE KELMON;81129;0,07;2022-10-30T02:47:56Z
80;LÉO PÉRICLES;53519;0,05;2022-10-30T02:47:56Z
21;SOFIA MANZANO;45620;0,04;2022-10-30T02:47:56Z
16;VERA;25625;0,02;2022-10-30T02:47:56Z
27;CONSTITUINTE EYMAEL;16604;0,01;2022-10-30T02:47:56Z
13;LULA;57259504;48,43;2022-10-30T02:48:55Z
22;JAIR BOLSONARO;51072345;43,20;2022-10-30T02:48:55Z
15;SIMONE TEBET;4915423;4,16;2022-10-30T02:48:55Z
12;CIRO GOMES;3599287;3,04;2022-10-30T02:48:55Z
44;SORAYA THRONICKE;600955;0,51;2022-10-30T02:48:55Z
30;"FELIPE D&apos;AVILA";559708;0,47;2022-10-30T02:48:55Z
14;PADRE KELMON;81129;0,07;2022-10-30T02:48:55Z
80;LÉO PÉRICLES;53519;0,05;2022-10-30T02:48:55Z
21;SOFIA MANZANO;45620;0,04;2022-10-30T02:48:55Z
16;VERA;25625;0,02;2022-10-30T02:48:55Z
27;CONSTITUINTE EYMAEL;16604;0,01;2022-10-30T02:48:55Z
13;LULA;57259504;48,43;2022-10-30T02:52:12Z
22;JAIR BOLSONARO;51072345;43,20;2022-10-30T02:52:12Z
15;SIMONE TEBET;4915423;4,16;2022-10-30T02:52:12Z
12;CIRO GOMES;3599287;3,04;2022-10-30T02:52:12Z
44;SORAYA THRONICKE;600955;0,51;2022-10-30T02:52:12Z
30;"FELIPE D&apos;AVILA";559708;0,47;2022-10-30T02:52:12Z
14;PADRE KELMON;81129;0,07;2022-10-30T02:52:12Z
80;LÉO PÉRICLES;53519;0,05;2022-10-30T02:52:12Z
21;SOFIA MANZANO;45620;0,04;2022-10-30T02:52:12Z
16;VERA;25625;0,02;2022-10-30T02:52:12Z
27;CONSTITUINTE EYMAEL;16604;0,01;2022-10-30T02:52:12Z
13;LULA;57259504;48,43;2022-10-30T02:52:26Z
22;JAIR BOLSONARO;51072345;43,20;2022-10-30T02:52:26Z
15;SIMONE TEBET;4915423;4,16;2022-10-30T02:52:26Z
12;CIRO GOMES;3599287;3,04;2022-10-30T02:52:26Z
44;SORAYA THRONICKE;600955;0,51;2022-10-30T02:52:26Z
30;"FELIPE D&apos;AVILA";559708;0,47;2022-10-30T02:52:26Z
14;PADRE KELMON;81129;0,07;2022-10-30T02:52:26Z
80;LÉO PÉRICLES;53519;0,05;2022-10-30T02:52:26Z
21;SOFIA MANZANO;45620;0,04;2022-10-30T02:52:26Z
16;VERA;25625;0,02;2022-10-30T02:52:26Z
27;CONSTITUINTE EYMAEL;16604;0,01;2022-10-30T02:52:26Z
13;LULA;57259504;48,43;2022-10-30T02:52:41Z
22;JAIR BOLSONARO;51072345;43,20;2022-10-30T02:52:41Z
15;SIMONE TEBET;4915423;4,16;2022-10-30T02:52:41Z
12;CIRO GOMES;3599287;3,04;2022-10-30T02:52:41Z
44;SORAYA THRONICKE;600955;0,51;2022-10-30T02:52:41Z
30;"FELIPE D&apos;AVILA";559708;0,47;2022-10-30T02:52:41Z
14;PADRE KELMON;81129;0,07;2022-10-30T02:52:41Z
80;LÉO PÉRICLES;53519;0,05;2022-10-30T02:52:41Z
21;SOFIA MANZANO;45620;0,04;2022-10-30T02:52:41Z
16;VERA;25625;0,02;2022-10-30T02:52:41Z
27;CONSTITUINTE EYMAEL;16604;0,01;2022-10-30T02:52:41Z
